,职位名,公司名,工作地点,薪资
0,Java开发工程师,北京库客音乐股份有限公司,北京-朝阳区,1.5-2万/月
1,Java开发工程师-5G,北京神州泰岳软件股份有限公司,北京-朝阳区,1.5-2万/月
2,高级Java开发工程师（服务产品部） (MJ001772),广联达,北京,2.3-3.5万/月
3,Java开发工程师,北京后来科技有限公司,北京-海淀区,0.6-1.5万/月
4,Java开发工程师-财务报表平台,字节跳动,北京,2-4万/月
5,Java开发工程师,中车信息技术有限公司,北京-海淀区,0.6-1.5万/月
6,高级JAVA开发工程师,北京海鑫科金高科技股份有限公司,北京,1-1.5万/月
7,Java开发工程师,上海安硕信息技术股份有限公司,北京,1.2-2万/月
8,Java开发实习生 (MJ000141),上海蜜度信息技术有限公司,北京,1-1.5万/月
9,百度智能云-Java开发工程师,百融云创科技股份有限公司,北京-海淀区,4-6千/月
10,Java开发/Java开发工程师,百度在线网络技术（北京）有限公司,北京,1.5-2.5万/月
11,Java开发工程师,国衡智慧城市科技研究院（北京）有限公司,北京,0.8-1万/月
12,Java开发实习生,深圳兆日科技股份有限公司,北京-海淀区,1.5-2万/月
13,Java开发工程师（高级）,中驰车福互联科技（北京）有限公司,北京-海淀区,3-4.5千/月
14,Java开发工程师,中海银河科技（北京）有限公司,北京-海淀区,1.7-2万/月
15,Java开发工程师,格尔软件股份有限公司,北京-东城区,1.5-1.8万/月
16,Java开发实习生,创远科技,北京-朝阳区,1-1.5万/月
17,Java开发工程师,北京志联利盟科技发展有限公司,北京-朝阳区,4.5-6千/月
18,JAVA开发工程师,北京云迹科技有限公司,北京-海淀区,1.5-2.5万/月
19,Java开发工程师,奇虎360科技有限公司,北京,2-2.5万/月
20,JAVA开发工程师(J10107),北京石基大商信息技术有限公司,北京-朝阳区,0.8-1.5万/月
21,Java开发工程师,北京启萌教育科技有限公司,北京-朝阳区,1.5-2.7万/月
22,Java开发工程师,盈东科技（北京）有限公司,北京-通州区,1-1.5万/月
23,Java开发工程师,珠海市卓轩科技有限公司,北京-朝阳区,1.8-2.6万/月
24,Java开发工程师,北京数字一百市场咨询有限公司,北京-朝阳区,2-2.5万/月
25,高级Java开发工程师,福建八萃网络科技有限公司,北京-朝阳区,0.8-1.2万/月
26,Java开发工程师,佰聆数据股份有限公司,北京-海淀区,1.5-2万/月
27,Java开发工程师,天宇经纬（北京）科技有限公司,北京-昌平区,1.7-2万/月
28,Java开发实习生,重庆啄木鸟网络科技有限公司,北京-朝阳区,1.3-2.5万/月
29,Java开发工程师,北京国研数通软件技术有限公司,北京-东城区,2-3千/月
30,对日Java开发工程师,路人甲传媒广告（北京）有限公司,北京-西城区,1.5-2万/月
31,金融用户平台-资深Java开发工程师,北京起鹏科技发展有限公司,北京-朝阳区,0.8-1.5万/月
32,Java开发主管,美团点评,北京-朝阳区,3-4万/月
33,Java开发工程师,政府采购信息网,北京-丰台区,1-2万/月
34,Java开发-北京,北京雷霆无极网络科技有限公司,北京-东城区,1-1.5万/月
35,中级java开发工程师,南京迈珂优软件科技有限公司,北京-西城区,1-1.5万/月
36,Java开发工程师,拓维集团,北京-大兴区,1.2-1.7万/月
37,Java开发工程师（后端开发）,竹间智能科技（上海）有限公司,北京-海淀区,2-4万/月
38,Java开发工程师,北京亮亮视野科技有限公司,北京-朝阳区,1.5-2万/月
39,Java开发工程师,东泓海科商贸（北京）有限公司,北京-海淀区,1.5-3万/月
40,Java开发工程师（双休）,北京运联上和科技有限公司,北京-海淀区,1-1.5万/月
41,Java开发工程师（APP/电商）,南京迈特望科技股份有限公司,北京,0.6-1万/月
42,Java开发工程师,智尊宝纺·六合生科技,北京-朝阳区,1.2-2.5万/月
43,高级Java开发,天津市淇奥科技发展有限公司,北京-朝阳区,0.8-1万/月
44,Java开发工程师,北京友聚四海网络科技有限公司,北京-朝阳区,4-5万/月
45,Java开发工程师,北京三六九数动科技有限公司,北京,2.5-3万/月
46,Java开发工程师,北京时代数维科技有限公司,北京-海淀区,1-1.5万/月
47,Java开发工程师,杭州柯林电气股份有限公司,北京-西城区,0.8-1.2万/月
48,,北京华夏家润信息科技有限公司,北京-朝阳区,0.6-1.2万/月
49,,深圳市都市交通规划设计研究院有限公司,北京-朝阳区,1.2-2万/月
